aX,aY,aZ,tmp,gX,gY,gZ
-2552,80,15368,22.08,158,-230,-465
-2568,108,15308,21.99,169,-230,-466
-2488,8,15360,22.04,153,-206,-515
-2692,108,15308,21.99,177,-190,-499
-2616,56,15424,21.99,184,-235,-460
-2508,80,15292,21.99,173,-227,-471
-2468,68,15448,21.94,159,-189,-488
-2536,-72,15248,21.99,177,-195,-475
-2532,104,15332,21.94,202,-240,-491
-2536,56,15336,22.04,161,-198,-497
-2512,68,15368,22.04,166,-211,-461
-2492,52,15264,21.94,166,-223,-460
-2472,36,15404,21.99,180,-233,-499
-2624,164,15380,22.08,175,-233,-496
-2488,88,15360,21.85,173,-232,-467
-2628,108,15384,21.94,193,-206,-460
-2560,16,15392,22.08,171,-206,-500
-2540,56,15268,21.99,183,-198,-468
-2552,88,15452,22.04,174,-199,-467
-2492,112,15404,21.94,168,-212,-473
-2592,32,15484,22.04,174,-205,-468
-2624,-32,15404,21.94,166,-222,-485
-2484,80,15428,22.04,157,-246,-483
-2620,92,15572,21.94,208,-213,-498
-2632,112,15388,21.99,181,-221,-460
-2512,76,15312,21.94,209,-210,-475
-2640,100,15284,22.04,166,-212,-500
-2604,24,15396,21.94,156,-224,-495
-2496,236,15560,21.94,181,-219,-470
-2628,112,15352,21.99,173,-231,-481
-2544,92,15468,22.04,140,-204,-460
-2624,84,15428,21.94,162,-213,-486
-2532,136,15276,21.99,179,-205,-471
-2504,128,15412,21.99,179,-197,-498
-2540,96,15652,21.89,178,-212,-493
-2640,48,15312,21.94,156,-238,-462
-2476,108,15344,21.99,180,-238,-490
-2544,32,15292,21.99,197,-208,-441
-2556,120,15232,21.99,175,-227,-422
-2504,16,15436,21.99,189,-232,-461
-2548,64,15428,22.04,149,-213,-493
-2648,56,15288,21.89,191,-195,-469
-2564,76,15384,21.94,164,-231,-472
-2484,88,15476,21.99,173,-215,-498
-2556,20,15424,21.99,180,-214,-492
-2596,100,15388,21.99,182,-216,-469
-2508,100,15540,22.04,176,-197,-480
-2564,56,15360,22.13,173,-212,-502
-2616,60,15376,21.99,190,-240,-452
